train/reward,train/length,train/episode,train/env_step
-20.0,3370.0,1,3681312
-20.0,3818.0,1,3683088
-21.0,3296.0,1,3686480
-20.0,3959.0,1,3690336
-21.0,3174.0,1,3694208
-20.0,4199.0,1,3701840
-20.0,3675.0,1,3705408
-21.0,3056.0,1,3706464
-21.0,3056.0,1,3710928
-20.0,3609.0,1,3711968
-21.0,3056.0,1,3714784
-20.0,3867.0,1,3725136
-21.0,3056.0,1,3726288
-21.0,3243.0,1,3731360
-20.0,3370.0,1,3737888
-20.0,4202.0,1,3740080
-19.0,3746.0,1,3741088
-18.0,4815.0,1,3750480
-20.0,3371.0,1,3753264
-19.0,4032.0,1,3757392
-19.0,4025.0,1,3763552
-21.0,3536.0,1,3768368
-20.0,3854.0,1,3771984
-21.0,3400.0,1,3777680
-20.0,4499.0,1,3789248
-18.0,4214.0,1,3791104
-21.0,3174.0,1,3794624
-20.0,3485.0,1,3796256
-21.0,3168.0,1,3797328
-20.0,3719.0,1,3798720
-20.0,4287.0,1,3811984
-21.0,3296.0,1,3815616
-21.0,3536.0,1,3819392
-21.0,3296.0,1,3820992
-20.0,3607.0,1,3825104
-19.0,4104.0,1,3830160
-21.0,3536.0,1,3840272
-21.0,3296.0,1,3841984
-19.0,4194.0,1,3849840
-20.0,3479.0,1,3852944
-21.0,3520.0,1,3854144
-18.0,4482.0,1,3855248
-20.0,3915.0,1,3861488
-21.0,3296.0,1,3866640
-21.0,3168.0,1,3878288
-20.0,3703.0,1,3879472
-20.0,3646.0,1,3884416
-21.0,3408.0,1,3893904
-21.0,3535.0,1,3895616
-21.0,3056.0,1,3903040
-21.0,3286.0,1,3905456
-21.0,3771.0,1,3908448
-21.0,3056.0,1,3920064
-20.0,3607.0,1,3922944
-21.0,3888.0,1,3925008
-21.0,3056.0,1,3929904
-20.0,3370.0,1,3935824
-20.0,4313.0,1,3942960
-21.0,3296.0,1,3946432
-21.0,3296.0,1,3949312
-21.0,3168.0,1,3950352
-21.0,3168.0,1,3955360
-21.0,3056.0,1,3960624
-19.0,4393.0,1,3965040
-21.0,3480.0,1,3970800
-21.0,3056.0,1,3973760
-20.0,3367.0,1,3982288
-21.0,3056.0,1,3985072
-19.0,3662.0,1,3994336
-21.0,3896.0,1,3996304
-20.0,3370.0,1,3997760
-20.0,3485.0,1,3999648
-21.0,3128.0,1,4007312
-20.0,3482.0,1,4010480
-20.0,3959.0,1,4016752
-20.0,3727.0,1,4024160
-21.0,3652.0,1,4025520
-21.0,3536.0,1,4028304
-19.0,3989.0,1,4029664
